City,State,avg_monthly_rent,pct_chg_val,med_home_val,best_time_sell,affordability,days_to_sell,job_market,public_school_ranking,top_ibs,ntop_ibs,nlocal_ibs
Seattle,WA,2122,-3.50,714800,June,103,43.54,Fair,29,,0,2
St Paul,MN,1241,2.50,221300,July,184.1,65.958,Fair,6,"Zillow Offers, Opendoor",2,2
Stockton,CA,1202,3.40,306500,September,109,63.167,Fair,38,,0,2
Virginia Beach,VA,1215,3.8,288499,July,High,127,Weak,7,,0,3
Waco,TX,975,7.90,126300,July,67,63.25,Fair,33,,0,2
St. Petersburg,FL,1327,5.80,228900,September,144.3,72.50,Fair,26,,0,3
St. Paul,MN,1241,2.50,221300,July,184.1,65.958,Fair,6,"Zillow Offers, Opendoor",2,2
Tucson,AZ,819,4.90,189200,October,150.2,62.75,Fair,49,"Opendoor, Offerpad, Zillow Offers",3,2
Tallahassee,FL,1231,4.60,182800,June,168.8,76.708,Fair,26,,0,2
Vista,CA,1809,1.90,549225,June,137,59.042,Fair,38,,0,2
Winter Haven,FL,1037,5.10,168300,November,146.8,91,Fair,26,Offerpad,1,2
Saint Paul,MN,1241,2.50,221300,July,184.1,65.958,Fair,6,"Zillow Offers, Opendoor",2,2
Sunnyvale,CA,3004,-4.10,1633237,June,61,38.42,Fair,17,,0,3
Sugar Land,TX,1355,-0.1,315656,July,High,60,Fair,52,Offerpad,1,3
Saint Petersburg,FL,1327,5.80,228900,September,144.3,72.50,Fair,26,,0,3
Winter Park,FL,1287,-1.50,403400,December,124.1,82.875,Strong,26,Offerpad,1,2
Saint Cloud,FL,1396,4.80,253959,December,155,79,Strong,26,,0,3
St Louis,MO,1241,2.50,221300,July,184.1,65.958,Fair,6,Opendoor,1,3
Wichita,KS,647,4.50,135819,November,High,71.3,Weak,20,,0,3
Tempe,AZ,1419,8.5,319975,November,Fair,45,Strong,37,Offerpad,1,3
Temple,TX,823,5.3,155481,August,Low,57,Fair,52,,0,3
Westminster,CO,1561,1.80,390349,June,90,46.25,Fair,17,,0,3
Vero Beach,FL,740,0.30,223080,January,67,92.13,Fair,26,Offerpad,1,3
Titusville,FL,877,5.00,181232,December,146,69.29,Fair,26,,0,2
Tulsa,OK,712,3.40,127839,June,High,82.38,Fair,40,,0,3
Thornton,CO,1466,1.30,381226,June,84,49.208,Fair,17,,0,3
Saint Louis,MO,1241,2.50,221300,July,184.1,65.958,Fair,6,Opendoor,1,3
St Petersburg,FL,1327,5.80,228900,September,144.3,72.50,Fair,26,,0,3
Yonkers,NY,2072,3.2,538412,July,High,147,Weak,57,,0,3
St. Louis,MO,1241,2.50,221300,July,184.1,65.958,Fair,6,Opendoor,1,3
Telluride,CO,1409,4.30,1000768,October,154,72.667,Fair,17,,0,1
Winston-Salem,NC,892,7.80,149505,May,High,70.92,Strong,31,,0,3
Vancouver,WA,1337,6.0,366840,July,High,45,Fair,54,,0,3
Worcester,MA,1390,9.0,267281,August,High,56,Strong,72,,0,3
Washington,DC,2131,-0.40,563200,May,144.2,63.333,Fair,45,"Zillow Offers, Opendoor",2,2
