".Henderson County, Illinois","3,856","3,863"
".Henry County, Illinois","22,170","22,147"
".Iroquois County, Illinois","13,494","13,502"
".Jackson County, Illinois","28,956","28,941"
".Jasper County, Illinois","4,348","4,343"
".Jefferson County, Illinois","16,987","17,039"
".Jersey County, Illinois","10,123","10,173"
".Jo Daviess County, Illinois","13,685","13,739"
".Johnson County, Illinois","5,629","5,639"
".Kane County, Illinois","186,455","190,970"
".Kankakee County, Illinois","45,475","45,747"
".Kendall County, Illinois","41,651","42,894"
".Knox County, Illinois","23,938","23,870"
".Lake County, Illinois","263,236","265,507"
".LaSalle County, Illinois","50,120","50,176"
".Lawrence County, Illinois","7,091","7,223"
".Lee County, Illinois","15,090","15,088"
".Livingston County, Illinois","15,899","15,907"
".Logan County, Illinois","12,065","12,029"
".McDonough County, Illinois","14,436","14,391"
".McHenry County, Illinois","118,221","119,173"
".McLean County, Illinois","72,116","72,764"
".Macon County, Illinois","50,438","50,305"
".Macoupin County, Illinois","21,706","21,800"
".Madison County, Illinois","119,036","120,024"
".Marion County, Illinois","18,276","18,280"
".Marshall County, Illinois","5,909","5,900"
".Mason County, Illinois","7,054","7,039"
".Massac County, Illinois","7,091","7,103"
".Menard County, Illinois","5,714","5,748"
".Mercer County, Illinois","7,426","7,416"
".Monroe County, Illinois","14,028","14,454"
".Montgomery County, Illinois","13,132","13,136"
".Morgan County, Illinois","15,477","15,461"
".Moultrie County, Illinois","6,445","6,569"
